AU1Variation;AU11Variation;AU21Variation;AU22Variation;AU4Variation;AU51Variation;AU52Variation;AU61Variation;AU62Variation;AU91Variation;AU92Variation;AU10Variation;AU12Variation;AU151Variation;AU152Variation;AU17Variation;AU20Variation;AU23Variation;AU24Variation;AU25Variation;AU26Variation;AU27Variation;Emotion
-0.6101593901330418;-2.5547615982871577;-2.0643485402439623;-1.5876868104407507;-2.978024325853278;0.0;-1.0;0.0;-1.0;-0.9123466947626397;-1.144691059090384;0.0;-0.9983235540634041;0.0;-0.37624170593791817;-0.9942028982679645;0.019992006393607653;-0.9983235540634041;-0.9931273898388682;-1.0;-0.9409069665858638;-0.9409069665858638;1
-3.0757901630578353;-3.155542999756058;0.12424771623581776;0.8319920173104514;0.0;-0.9009804864072155;-1.0;-0.9009804864072155;-1.0;-0.9972673419257703;-1.0371503827392559;0.0;0.9852972966100992;-2.5184323892307674;-3.6199532506168346;-1.9969112245140437;-2.019223662515376;0.9852972966100992;-2.0;0.0;-4.0322292094010805;-4.0322292094010805;1
-3.398529491264556;-4.655302643225813;-4.149789111059562;-2.4586128313672546;-1.8066944333207449;0.0;-1.0;0.0;-1.0;-2.9050216400210545;-3.0941881365922796;-0.98230086031338;-0.9226896802910218;-2.4439629165517296;-3.5018196149860703;-0.8643671805704365;-1.9386397642436854;-0.9226896802910218;0.0553851381374173;-1.0;-2.8124677062974044;-2.8124677062974044;1
-1.6366505594139191;-1.5184245351408716;-3.472382022418685;-1.2796806556018332;-3.9896249630891027;0.0;1.0;0.0;1.0;-0.9459853727021894;-1.9992694067582093;0.9931273898388682;0.0;0.0;0.8402058867932602;1.0262975904404463;-0.0747668477409924;0.0;-0.049875621120889946;-1.0;0.9986531986523772;0.9986531986523772;1
-2.740381372739572;-1.0715064225937763;-2.0250950949957485;-2.0359761947656843;-2.9917017995806123;0.09901951359278449;-0.8377223398316205;0.09901951359278449;-0.8377223398316205;-1.957642862856531;-1.9857171999768042;0.0553851381374173;-0.9843788128357573;0.0;-0.8402058867932602;-0.9722436226800539;0.9947780676989808;-0.9843788128357573;-1.0;1.0;0.06564192421094361;0.06564192421094361;1
-0.6690879335523174;-0.6646169661333552;-2.1498625081064198;-0.7766878461004474;-1.8890839181504475;-2.0;-1.0;-2.0;-1.0;-0.9864889533565062;-2.013511046643494;0.0;1.0;0.4242946234253395;0.0;0.9722436226800539;-0.9200112199579884;1.0;1.0453610171872612;1.0;0.0;0.0;1
-0.9761569991500192;-1.7910818862952222;-0.5677162760548526;-1.3907975408551039;-2.0;0.0;1.0;0.0;1.0;-0.9975175816500155;-1.1021541423998897;-1.0;-0.999662788765896;0.8778243109855239;-0.0796680360572708;-0.977284454454761;0.0;-0.999662788765896;0.038404810405298306;-1.0;-1.0113621693307735;-1.0113621693307735;1
-1.955394476652021;-2.937156531973372;-0.5677162760548526;-1.3853497682199496;0.0;-0.9759138879751239;1.0;-0.9759138879751239;1.0;-1.0769199442444304;-2.0545620591426115;0.0;-4.038866588859456;-1.6699592262722618;-1.7105881258006725;-0.9990954324859516;-2.0;-4.038866588859456;-0.9968102316130025;-0.5857864376269049;-2.9992749248418633;-2.9992749248418633;1
-1.911109137887518;-1.0715064225937763;-2.662620811268397;-2.571657214192907;-1.8701437870217603;-0.9009804864072155;-2.0;-0.9009804864072155;-2.0;-1.8913960197211495;-3.8844822657617257;-2.062257748298549;0.9994627989343776;-4.04784133157424;-2.6994261363395786;-3.993764852619389;1.0640772156851526;0.9994627989343776;-1.95012437887911;1.2360679774997898;-2.987181593737681;-2.987181593737681;3
-2.23606797749979;-1.7463587554423459;-1.9675397896279563;-3.009587160437892;-1.8966404155048462;-2.0;-2.92048487012984;-2.0;-2.92048487012984;-1.9871815937376809;-2.9584834201872994;-4.0;0.0;-1.9403130116115062;-0.8601779741233511;4.0;-4.993972489122729;0.0;8.0;8.0;-0.9996952613346437;-0.9996952613346437;3
